Adjective,Noun Single,Noun Plural,Verb,Verb Adjective
Able,Ability,Abilities,,
Abundant,Abundance,,Abound,Abounding
Active,Actor,Actors,Act,Acting
Activated,Activator,Activators,Activate,Activating
,Agape,,,
,AI,,,
,Air,,,
Algorithmic,Algorithm,Algorithms,,
Angelic,Angel,Angels,,
,API,APIs,,
,Archive,Archives,Archive,Archiving
,Axe,Axes,,
Best,,,,
Blessed,Blessing,Blessings,Bless,Blessing
Bold,Boldness,,,
,Book,Books,Book,Booking
Brave,Bravery,,,
,Bringer,Bringers,Bring,Bringing
Built,Building,Buildings,Build,Building
,Butterfly,Butterflies,,
,Business,Businesses,,
Capable,Capability,Capabilities,,
,Character,,,
Charitable,Charity,Charities,,
,Cherubim,Cherubims,,
Chosen,Choice,Choices,Choose,Choosing
,Code,Codes,Code,Coding
,Command,Commands,Command,Commanding
Compassionate,Compassion,Compassions,,
,Competition,Competitions,Compete,Competing
Created,Creation,Creations,Create,Creating
,Cross,Crosses,Cross,Crossing
,Daniel,,,
,David,,,
Dawning,Dawn,Dawns,Dawn,Dawning
Deep,Depth,Depths,,
Detected,Detective,Detectives,Detect,Detecting
Developed,Development,Developments,Develope,Developing
Distant,Distance,Distances,Distance,Distancing
,Dream,Dreams,Dream,Dreaming
,Eagle,Eagles,,
Energetic,Energy,Energies,Energize,Energizing
Eternal,Eternity,Eternities,,
Believing,Faith,,Believe,Believing
Familiar,Family,Families,,
Fatherly,Father,Fathers,,
Favored,Favor,Favors,Favor,Favoring
,Field,Fields,,
Fiery,Fire,Fires,,
Flowing,Flow,Flows,Flow,Flowing
,Flower,Flowers,,
Focused,Focus,,Focus,Focusing
Foundational,Foundation,Foundations,Found,Founding
Free,Freedom,Freedoms,Free,Freeing
Fulfilled,Fulfilment,,Fulfill,Fulfilling
Futuristic,Future,Futures,,
Gained,Gain,Gains,Gain,Gaining
General,General,Generals,,
,Genesis,,,
Gifted,Gift,Gifts,Gift,Gifting
Given,Giving,,Give,Giving
Glorious,Glory,Glories,Glorify,Glorifying
,Goal,Goals,,
,God,,,
Golden,Gold,,,
Good,,,,
Gracious,Grace,Graces,,
Grown,Growth,,Grow,Gowing
,Harvest,Harvests,Harvest,Harvesting
,Hawk,Hawks,,
Healthy,Health,,Heal,Healing
,Heart,Hearts,,
Hoped,Hope,Hopes,Hope,Hoping
Humble,Humility,,Humble,Humbling
Ideal,Idea,Ideas,,
,Image,Images,Image,Imaging
Imagined,Imagination,Imaginations,Imagine,Imagining
Immortal,Immortality,,,
Increased,Increase,Increases,Increase,Increasing
Influential,Influence,Influences,Influence,Influencing
Integral,Integrity,,,
,Intellect,Intellects,,
Intelligent,Intelligence,,,
,Joseph,,,
,Journey,Journeys,Journey,Journeying
Joyful,Joy,Joys,Rejoice,Rejoicing
Judging,Judgement,Judgements,Judge,Judging
Kind,Kindness,,,
,Kingdom,Kingdoms,,
Knowledgeful,Knowledge,,Know,Knowing
Lead,Leader,Leaders,Lead,Leading
Learned,Learner,Learners,Learn,Learning
,Library,Libraries,,
Living,Life,Lives,Live,Living
Light,Light,Lights,Light,Lighting
,Lion,Lions,,
Loyal,,,,
Made,,,Make,Making
Meant,Meaning,Meanings,Mean,Meaning
Merciful,Mercy,Mercies,,
Metaphoric,Metaphor,Metaphors,,
Mindful,Mind,Minds,Mind,Minding
More,,,,
,Moses,,,
Moving,Motion,Motions,Move,Moving
,Mountain,Mountains,,
,Movement,Movements,,
,Parable,Parables,,
,Path,Paths,,
Peaceful,Peace,,,
Perseverant,Perseverance,,Persevere,Persevering
Planted,Plant,Plants,Plant,Planting
,Pillar,Pillars,,
Powerful,Power,Powers,,
Principal,Principle,Principles,,
,Prophecy,Prophecies,,
Prophetic,Prophet,Prophets,Prophesy,Prophesying
Prosperous,Prosperity,Prosperities,Prosper,Prospering
Purposeful,Purpose,Purposes,Purpose,Purposing
Read,Reading,Readings,Read,Reading
Reborn,Rebirth,Rebirths,,
Red,,,,
,Relator,Relators,Relate,Relating
Reliable,Reliability,,Rely,Relying
Renewed,Renewal,Renewals,Renew,Renewing
,Repository,Repositories,,
Resourceful,Resource,Resources,Resource,Resourcing
Responsible,Responsibility,Responsibilities,Respond,Responding
Rich,,Riches,,
,Rock,Rocks,,
Rooted,Root,Roots,Root,Rooting
Saving,Salvation,Salvations,Save,Saving
,Samuel,,,
Scaled,,,Scale,Scaling
,Seed,Seeds,,
Sought,Seeker,Seekers,Seek,Seeking
,Servant,Servants,Serve,Serving
Shielded,Shield,Shields,Shield,Shielding
,Shine,,Shine,Shining
Seen,Sight,,See,Seeing
,Sky,Skies,,
,Software,,,
Spoken,Speech,Speeches,Speak,Speaking
Spiritual,Spirit,Spirits,,
Stable,Stability,,Stabilize,Stabilizing
,Step,Steps,Step,Stepping
Stormy,Storm,Storms,Storm,Storming
,Story,Stories,,
Strategic,Strategy,Strategies,Strategize,Strategizing
Strong,Strength,Strengths,,
Studied,Student,Students,Study,Studying
Successful,Success,Successes,Succeed,Succeeding
Sure,,,,
,Sword,Swords,,
Synergic,Synergy,Synergies,Synergize,Synergizing
Systematic,System,Systems,,
,,,,
Taught,Teacher,Teachers,Teach,Teaching
,Temple,Temples,,
Thundering,Thunder,Thunders,Thunder,Thundering
Transformed,Transformation,Transformations,Transform,Transforming
Treasured,Treasure,Treasures,Treasure,Treasuring
,Tree,Trees,,
Trusted,Trust,,Trust,Trusting
Trustworthy,,,,
True,Truth,Truths,,
Understood,Understanding,Understandings,Understand,Understanding
Unique,Uniqueness,,,
,Utopia,Utopias,,
Victorious,Victory,Victories,Win,Winning
,Vision,Visions,,
Voiced,Voice,Voices,Voice,Voicing
,War,Wars,War,Warring
Wavy,Wave,Waves,Wave,Waving
Windy,Wind,Winds,,
Wise,Wisdom,,,
,Word,Words,,
Written,Writing,Writings,Write,Writing